sensor,importance
64,0.01272868516130527
65,0.012039440608115222
574,0.011008277340803514
562,0.009805181388669567
59,0.00881676719843276
441,0.007762843622187302
103,0.007640837852428069
153,0.007469328758404097
26,0.007334321325709357
539,0.0068733006996961575
267,0.0068425793281228445
170,0.006085892584657484
16,0.00600331054622946
51,0.005931247602430524
25,0.005825712718002697
2,0.005674390952237358
104,0.005654478983874186
40,0.005637805781291826
426,0.005525314772391849
121,0.005436448131389386
