sensor,mean_abs_shap
59,0.0064955160382150845
103,0.003992617539708312
65,0.003910700131491139
574,0.0035905395590919574
64,0.003487828851380068
205,0.002161392680563738
341,0.002132987943691492
16,0.0016719930637622928
562,0.0016009447079901125
510,0.0015234237428448064
82,0.0014476450282299832
267,0.0014416388277800126
539,0.001405797205577012
138,0.0013887899817394268
132,0.0013447580644824976
433,0.0013148004017216365
519,0.0012629811004620025
121,0.001172534517348528
25,0.00115472960026665
0,0.0011383813090071696
